id,sub_category,code,description,is_active,local_code
10491,UROLOGY,49505,Hernia Repair - Inguinal/Fermoral,TRUE,
10492,UROLOGY,49595,Herniotomy,TRUE,
10493,UROLOGY,49565,Incisional Hernia Repair,TRUE,
10494,UROLOGY,49568,Hernioplasty,TRUE,
10495,UROLOGY,43840,Laparotomy Intestinal Obstruction,TRUE,
10496,UROLOGY,44602,Laparotomy Perforation of Viscera,TRUE,
10497,UROLOGY,47350,Liver Trauma Surgical Repair,TRUE,
10498,UROLOGY,49020,"Drainage of Abdominal Abscess or Infection, Open Procedure",TRUE,
10499,UROLOGY,38100,Splenectomy,TRUE,
10500,UROLOGY,38115,Repair of Ruptured Spleen,TRUE,
10501,UROLOGY,38129,Laparoscopic Splenectomy,TRUE,
10502,UROLOGY,15830,Abdominal Dermolipectomy,TRUE,
10503,UROLOGY,44320,Colostomy Defunctioning,TRUE,
10504,UROLOGY,43810,Gastrojejunostomy,TRUE,
10505,UROLOGY,44140,Hemicolectomy,TRUE,
10506,UROLOGY,15877,Liposuction (Major),TRUE,
10507,UROLOGY,19112,Michrodochotomy,TRUE,
10508,UROLOGY,15650,Plastic Surgery - SSG & FLAP,TRUE,
10509,UROLOGY,37181,Portal Systemic Shunt Procedure,TRUE,
10510,UROLOGY,45300,Proctoscopy Eua Biopsy (Rigid),TRUE,
10511,UROLOGY,44345,PSARP,TRUE,
10512,UROLOGY,45121,Pull Through Surgery (Procedures),TRUE,
10513,UROLOGY,19318,Reduction Mammoplasty,TRUE,
10514,UROLOGY,48150,Resection - Whipples Procedure,TRUE,
10515,UROLOGY,43244,Stripping of Oesophageal Varices / Band Ligation,TRUE,
10516,UROLOGY,26560,Syndactyl Release / Separation,TRUE,
10517,UROLOGY,60521,Thymectomy,TRUE,
10518,UROLOGY,43314,Tracheal Oesophaeal Fistula Closure,TRUE,
10519,UROLOGY,15750,Varicose Vein Surgery + Skin Grafting,TRUE,
10520,UROLOGY,45110,Abdominal Perineal Resection(Rectum Operations),TRUE,
10521,UROLOGY,45111,Anterior Resection(Rectum Operations),TRUE,
10522,UROLOGY,47721,Cholecysto - Jejunostomy,TRUE,
10523,UROLOGY,43635,Drainage/Antrectomy,TRUE,
10524,UROLOGY,11404,Wide Major Excision,TRUE,
10525,UROLOGY,43633,Gastrectomy Plus Bypass,TRUE,
10526,UROLOGY,43620,Gastrectomy-Total,TRUE,
10527,UROLOGY,43999,Gastrostomy,TRUE,
10528,UROLOGY,41130,Partial Glossectomy,TRUE,
10529,UROLOGY,46221,Haemorrhoidectomy (Band Ligation),TRUE,
10530,UROLOGY,46255,Haemorrhoidectomy (Open),TRUE,
10531,UROLOGY,46947,Haemorrhoidectomy (Stappler),TRUE,
10532,UROLOGY,44147,Laparotomy for Colon Resection,TRUE,
10533,UROLOGY,44620,Laparotomy for Colostomy/Closure,TRUE,
10534,UROLOGY,47001,Needle Biopsy of Liver,TRUE,
10535,UROLOGY,47362,Re-Exploration of Liver Wound with Removal of Packing,TRUE,
10536,UROLOGY,45910,Anal Dilatation,TRUE,
10537,UROLOGY,45990,Diagnostic Examination of Anus and Rectum under Anesthesia,TRUE,
10538,UROLOGY,48500,Pancreatic-Cyst Drainage,TRUE,
10539,UROLOGY,48140,Pancreatic-Partial Resection,TRUE,
10540,UROLOGY,43520,Pyloromyotomy,TRUE,
10541,UROLOGY,43640,Truncal / Selective Vagotomy & Gastrojejunal Anastomos,TRUE,
10542,UROLOGY,43641,Vagotomy & Bypass Procedure,TRUE,
10543,UROLOGY,26123,Contracture Release Major,TRUE,
10544,UROLOGY,21931,Lipoma Excision Under G/A,TRUE,
10545,UROLOGY,15111,Major Skin Grafting,TRUE,
10546,UROLOGY,14302,Rotation Flap Operation,TRUE,
10547,UROLOGY,11426,Wide Major Excision,TRUE,
10548,UROLOGY,57289,Cystocele Repair,TRUE,
10549,UROLOGY,57268,Enterocele Repair,TRUE,
10550,UROLOGY,19125,Breast Lumpectomy,TRUE,
10551,UROLOGY,19361,Mammoplasty,TRUE,
10552,UROLOGY,60280,Thyroglossal Cyst/Fistula Excision,TRUE,
10553,UROLOGY,60252,Thyroid Total Thyroidectomy,TRUE,
10554,UROLOGY,31660,Bronchoscopic Ablative Therapy,TRUE,
10555,UROLOGY,31622,"Bronchoscopy, Biopsy & Brush Cytology",TRUE,
10556,UROLOGY,45331,Colonoscopy With Biopsy,TRUE,
10557,UROLOGY,17250,Cauterazation,TRUE,
10558,UROLOGY,43237,Endoscopic Uss,TRUE,
10559,UROLOGY,43260,ERCP,TRUE,
10560,UROLOGY,43262,ERCP And Sphicterotomy,TRUE,
10561,UROLOGY,43274,ERCP And Stenting,TRUE,
10562,UROLOGY,43266,Esophageal Stenting,TRUE,
10563,UROLOGY,43233,OGD (Oesophagogastroduodenoscopy),TRUE,
10564,UROLOGY,43246,Percutaneous Endoscopic Gastrotomy (PEG),TRUE,
10565,UROLOGY,43250,Polypectomy,TRUE,
10566,UROLOGY,46600,Proctoscopy,TRUE,
10567,UROLOGY,27339,Lipoma/Cyst Excison,TRUE,
10568,UROLOGY,21014,Lipoma Cyst Polyp Excision,TRUE,
10569,UROLOGY,43197,Oesophagoscopy Rigid/Flexible,TRUE,
10570,UROLOGY,32609,Pleural Biopsy,TRUE,
10571,UROLOGY,32554,Pleural TAP,TRUE,
10572,UROLOGY,20101,Wound Exploration,TRUE,
10573,UROLOGY,47015,Liver Abscess Aspiration,TRUE,
10574,UROLOGY,47000,Perctaneous Liver Biopsy,TRUE,
10575,UROLOGY,46040,Incision & Drainage-Ischial Rectal Abscess,TRUE,
10576,UROLOGY,11100,Skin Biopsy,TRUE,
10577,UROLOGY,36425,Venous Cutting Down,TRUE,
10578,UROLOGY,15852,Major Wound Dressing under G/A,TRUE,
10579,UROLOGY,45900,Anal Dilatation,TRUE,
10580,UROLOGY,46220,Cauterization (Electrical),TRUE,
10581,UROLOGY,45378,Colonoscopy (Flexible),TRUE,
10582,UROLOGY,43259,Endoscopic Us,TRUE,
10583,UROLOGY,43235,Enteroscopy,TRUE,
10584,UROLOGY,43261,ERCP + Sphicterotomy,TRUE,
10585,UROLOGY,74330,ERCP + Stenting,TRUE,
10586,UROLOGY,43450,Esophageal Dilatation,TRUE,
10587,UROLOGY,43212,Esophageal Stenting,TRUE,
10588,UROLOGY,43202,Oesophageal Biopsy,TRUE,
10589,UROLOGY,43231,Oesophagoscopy,TRUE,
10590,UROLOGY,43239,"Osophagus, Gastric and Deodenal with Biopsy",TRUE,
10591,UROLOGY,43243,"Osophagus, Gastric and Deodenal with Sclerotherapy",TRUE,
10592,UROLOGY,45100,Rectal Biopsy,TRUE,
10593,UROLOGY,36470,Sclerotherapy,TRUE,
10594,UROLOGY,26587,Extradigit Amputation - Minor,TRUE,
10595,UROLOGY,11424,Wide Minor Excision,TRUE,
10596,UROLOGY,10040,Acne Scar Removal,TRUE,
10597,UROLOGY,10061,Incision and Drainage of Pyomyositis,TRUE,
10598,UROLOGY,11730,Removing Ingrowing Nail,TRUE,
10599,UROLOGY,15839,Kelloid Excision,TRUE,
10600,UROLOGY,27385,Repair of Muscle,TRUE,
10601,UROLOGY,15150,Minor Skin Grafting,TRUE,
10602,UROLOGY,15783,Slit Skin Smear,TRUE,
10603,UROLOGY,11006,Sloughectomy,TRUE,
10604,UROLOGY,15851,Stitch Sinus Exploration,TRUE,
10605,UROLOGY,16025,Minor Wound Dressing,TRUE,
10606,UROLOGY,60500,Parathyroidectomy,TRUE,
10607,UROLOGY,49321,Laparoscopy(with Necessary Biopsies) - Nissen Fundoplication,TRUE,
10608,UROLOGY,44615,Laparoscopy (with Necessary Biopsies) - Adhesion/ Bowel Obstruction,TRUE,
10609,UROLOGY,49652,Laparoscopic Femoral Hernia Repair,TRUE,
10610,UROLOGY,44212,Laparoscopic Assisted Colectomy,TRUE,
10611,UROLOGY,43325,Laparoscopic Heller Myotomy for Achalasia,TRUE,
10612,UROLOGY,51820,Laparoscopic Repair of Urinary Bladder,TRUE,
10613,UROLOGY,39561,Laparoscopic Diaphragmatic Injury Repair,TRUE,
10614,UROLOGY,49329,Laparoscopic Repair of Visceral Injuries (stomach / Large& Small Bowel),TRUE,
10615,UROLOGY,32659,Laparoscopic Pericardial Window,TRUE,
10616,UROLOGY,45126,Abdominal Perineal Resection,TRUE,
10617,UROLOGY,37140,Portal Systemic Shunt Procedure,TRUE,
10618,UROLOGY,63173,Lumboperitoneal Shunt,TRUE,
10619,UROLOGY,43305,Tracheal Oesophaeal Fistula Closure,TRUE,
10620,UROLOGY,43335,Laparoscopy (with Necessary Biopsies) - Cholecystectomy,TRUE,
10621,UROLOGY,62143,Hernia Repair - Diaphragmatic,TRUE,
10622,UROLOGY,32124,Lung Decortication,TRUE,
10623,UROLOGY,60520,Thymomectomy,TRUE,
10624,UROLOGY,49580,Herniotomy (paediatric),TRUE,
10625,UROLOGY,48510,Pancreatic or Cyst Drainage (cystogastrostomy),TRUE,
10626,UROLOGY,44970,Laparoscopy (with Necessary Biopsies) - Appendectomy,TRUE,
10627,UROLOGY,37761,Varicose Vein Stripping (low),TRUE,
10628,UROLOGY,62096,Open Chest Drainage (chest Window),TRUE,
10629,UROLOGY,49654,Hernia Repair - Incisional,TRUE,
10630,UROLOGY,60650,Laparoscopy (with Necessary Biopsies) - Diagnostic,TRUE,
10631,UROLOGY,44955,Appendicectomy,TRUE,
10632,UROLOGY,27591,Femur Transfemoral Amputation,TRUE,
10633,UROLOGY,45505,Rectocele Repair,TRUE,
10634,UROLOGY,27884,Tibia Transtibial Amputation,TRUE,
10635,UROLOGY,49002,Burst Abdomen- Repair,TRUE,
10636,UROLOGY,25295,Keloid Excission-major,TRUE,
10637,UROLOGY,43220,Esophagoscopy & Dilatation,TRUE,
10638,UROLOGY,45020,Incision & Drainage - Ischio Rectal Abscess,TRUE,
10639,UROLOGY,43100,Colonoscopy (flexible/rigid) without Biopsy,TRUE,
10640,UROLOGY,43200,Endoscopic Biopsy,TRUE,
10641,UROLOGY,32169,Pleural Biopsy,TRUE,
10642,UROLOGY,27336,Lipoma Excision (minor),TRUE,
10643,UROLOGY,46270,Fistulectomy,TRUE,
10644,UROLOGY,45305,"Proctoscopy, Eua, Biopsy (rigid Scope)",TRUE,
10645,UROLOGY,31295,Antral Wash Out,TRUE,
10646,UROLOGY,49082,Laparotomy (peritonitis),TRUE,
10647,UROLOGY,20005,Simple Abscess Incision & Drainage,TRUE,
10648,UROLOGY,28060,Plantar Fasciotomy Open - Foot,TRUE,
10649,UROLOGY,28008,Plantar Fasciotomy Percutaneous - Foot,TRUE,
10650,UROLOGY,17000,"Cryotherapy (e.g Eye,skin,cervix)",TRUE,
10651,UROLOGY,31625,Bronchoscopy- Biopsy & Brush Cytology (fibre Optic),TRUE,
10652,UROLOGY,58960,Laparatomy,TRUE,
10653,UROLOGY,19120,Breast Lumpectomy (BENIGN),TRUE,
10654,UROLOGY,32551,Tube Thoracostomy,TRUE,
10655,OBSTETRIC & GYNECOLOGY (OBGY),88160,Via-Visual Inspection with Acetic Acid,TRUE,
10656,OBSTETRIC & GYNECOLOGY (OBGY),58661,Bilateral Salphingo Ophorectomy,TRUE,
10657,OBSTETRIC & GYNECOLOGY (OBGY),58671,Blocking of Uterine Tubes By Device using an Endoscope,TRUE,
10658,OBSTETRIC & GYNECOLOGY (OBGY),57720,Cervical Tear Repair Extensive,TRUE,
10659,OBSTETRIC & GYNECOLOGY (OBGY),59121,Ectopic Pregnancy - Laparotomy & Salphingectomy,TRUE,
10660,OBSTETRIC & GYNECOLOGY (OBGY),58353,Endometrial Ablation,TRUE,
10661,OBSTETRIC & GYNECOLOGY (OBGY),57500,Eua And Wedge Biopsy-Cervical,TRUE,
10662,OBSTETRIC & GYNECOLOGY (OBGY),58662,Excission of Endometrial Implants,TRUE,
10663,OBSTETRIC & GYNECOLOGY (OBGY),58555,Hysterescopy,TRUE,
10664,OBSTETRIC & GYNECOLOGY (OBGY),51570,Laparatomy (Cystectomy),TRUE,
10665,OBSTETRIC & GYNECOLOGY (OBGY),58400,Laparatomy (Manchester Forthergil Repair),TRUE,
10666,OBSTETRIC & GYNECOLOGY (OBGY),58940,Laparatomy (Ovarain Tumor),TRUE,
10667,OBSTETRIC & GYNECOLOGY (OBGY),45000,Laparatomy (Pelvic Abscess),TRUE,
10668,OBSTETRIC & GYNECOLOGY (OBGY),57288,Laparatomy (Stress Incontinence Surgery),TRUE,
10669,OBSTETRIC & GYNECOLOGY (OBGY),57250,Laparatomy Perineorrhaphy,TRUE,
10670,OBSTETRIC & GYNECOLOGY (OBGY),58570,Laparoscopic Hysterectomy,TRUE,
10671,OBSTETRIC & GYNECOLOGY (OBGY),58145,Myomectomy (Laparoscopic),TRUE,
10672,OBSTETRIC & GYNECOLOGY (OBGY),57510,Leep Procedure,TRUE,
10673,OBSTETRIC & GYNECOLOGY (OBGY),58140,Myomectomy,TRUE,
10674,OBSTETRIC & GYNECOLOGY (OBGY),58670,Ovarian Drill,TRUE,
10675,OBSTETRIC & GYNECOLOGY (OBGY),57282,Perrineoplasty,TRUE,
10676,OBSTETRIC & GYNECOLOGY (OBGY),58150,Subtotal & Total Abdominal Hysterectomy,TRUE,
10677,OBSTETRIC & GYNECOLOGY (OBGY),58760,Tubal Anastomosis (Re-Anastomosis),TRUE,
10678,OBSTETRIC & GYNECOLOGY (OBGY),58673,Tuboplasty,TRUE,
10679,OBSTETRIC & GYNECOLOGY (OBGY),51900,Vvf Repair,TRUE,
10680,OBSTETRIC & GYNECOLOGY (OBGY),58410,Ventrosuspension Operations (Stameys Etc),TRUE,
10681,OBSTETRIC & GYNECOLOGY (OBGY),58954,Warthem Hysterectomy,TRUE,
10682,OBSTETRIC & GYNECOLOGY (OBGY),58615,Bilateral Tubal Ligation (BTL),TRUE,
10683,OBSTETRIC & GYNECOLOGY (OBGY),59514,Caesarean Section,TRUE,
10684,OBSTETRIC & GYNECOLOGY (OBGY),58611,Caesarean Section + BTL,TRUE,
10685,OBSTETRIC & GYNECOLOGY (OBGY),10060,Incision & Drainage,TRUE,
10686,OBSTETRIC & GYNECOLOGY (OBGY),58300,Insertion and Removal of LUCD,TRUE,
10687,OBSTETRIC & GYNECOLOGY (OBGY),59870,Sunction Curratage for Molar Pregnancy,TRUE,
10688,OBSTETRIC & GYNECOLOGY (OBGY),16030,Major Wound Dressing under G/A,TRUE,
10689,OBSTETRIC & GYNECOLOGY (OBGY),56440,Bartholins Abscess-Mursupialisation,TRUE,
10690,OBSTETRIC & GYNECOLOGY (OBGY),59320,Cervical Circlage-Shrodikar,TRUE,
10691,OBSTETRIC & GYNECOLOGY (OBGY),57000,Colpotomy,TRUE,
10692,OBSTETRIC & GYNECOLOGY (OBGY),57520,Cone Biopsy,TRUE,
10693,OBSTETRIC & GYNECOLOGY (OBGY),58120,Diagnostic Curretage-D and C,TRUE,
10694,OBSTETRIC & GYNECOLOGY (OBGY),59840,Dilatation And Curratage(D&C),TRUE,
10695,OBSTETRIC & GYNECOLOGY (OBGY),59812,Evacuation,TRUE,
10696,OBSTETRIC & GYNECOLOGY (OBGY),11983,Insertion And Removal Implanon,TRUE,
10697,OBSTETRIC & GYNECOLOGY (OBGY),57452,Colposcopy,TRUE,
10698,OBSTETRIC & GYNECOLOGY (OBGY),59820,Manual Vacum Aspiration,TRUE,
10699,OBSTETRIC & GYNECOLOGY (OBGY),58558,Polypectomy-Cervical,TRUE,
10700,OBSTETRIC & GYNECOLOGY (OBGY),56630,Simple Vulvectomy,TRUE,
10701,OBSTETRIC & GYNECOLOGY (OBGY),58260,Vagina Hysterectomy,TRUE,
10702,OBSTETRIC & GYNECOLOGY (OBGY),59300,Vaginal Repair,TRUE,
10703,OBSTETRIC & GYNECOLOGY (OBGY),58285,Wartheim Hysterectomy,TRUE,
10704,OBSTETRIC & GYNECOLOGY (OBGY),59160,Retained Placenta Removal,TRUE,
10705,OBSTETRIC & GYNECOLOGY (OBGY),57265,Enterocele Repair,TRUE,
10706,OBSTETRIC & GYNECOLOGY (OBGY),60540,Laparotomy for Other Conditions,TRUE,
10707,OBSTETRIC & GYNECOLOGY (OBGY),49000,Explorative Laparatomy,TRUE,
10708,OBSTETRIC & GYNECOLOGY (OBGY),58925,Ovarian Cystectomy,TRUE,
10709,OBSTETRIC & GYNECOLOGY (OBGY),58210,Radical Hysterectomy,TRUE,
10710,OBSTETRIC & GYNECOLOGY (OBGY),57300,RVF Repair,TRUE,
10711,OBSTETRIC & GYNECOLOGY (OBGY),57461,CONE Biopsy,TRUE,
10712,OBSTETRIC & GYNECOLOGY (OBGY),56810,Perineoraphy,TRUE,
10713,OBSTETRIC & GYNECOLOGY (OBGY),58578,Laparascopy,TRUE,
10714,OBSTETRIC & GYNECOLOGY (OBGY),58579,Hysteroscopy,TRUE,
10715,OBSTETRIC & GYNECOLOGY (OBGY),59409,Normal Delivery,TRUE,
10716,OBSTETRIC & GYNECOLOGY (OBGY),56442,Hymenectomy,TRUE,
10717,OBSTETRIC & GYNECOLOGY (OBGY),19100,Core Needle biopsy,TRUE,
10718,OPHTHALMOLOGY,65810,Anterior Chamber Washout,TRUE,
10719,OPHTHALMOLOGY,66984,Cataract Surgery with IOL Insertion,TRUE,
10720,OPHTHALMOLOGY,66920,Cataract Surgery Without IOL Insertion,TRUE,
10721,OPHTHALMOLOGY,66820,Posterior Capsulotomy,TRUE,
10722,OPHTHALMOLOGY,66825,Repositioning of Lens Prosthesis,TRUE,
10723,OPHTHALMOLOGY,66840,Lens Washout,TRUE,
10724,OPHTHALMOLOGY,66983,Phaeco-Emulsification Surgery with Foldable Lens,TRUE,
10725,OPHTHALMOLOGY,66930,Lensectomy,TRUE,
10726,OPHTHALMOLOGY,66985,Secondary Intra Ocular Lens Insertion,TRUE,
10727,OPHTHALMOLOGY,66680,Iris Repair,TRUE,
10728,OPHTHALMOLOGY,66986,Intra Ocular Lens Exchange,TRUE,
10729,EXTERNAL EYE AND CORNEA,65426,Pterygium Excision,TRUE,
10730,EXTERNAL EYE AND CORNEA,68399,Conjuctival Flap,TRUE,
10731,EXTERNAL EYE AND CORNEA,68200,Subconjunctiva Injection,TRUE,
10732,EXTERNAL EYE AND CORNEA,68320,Conjunctiva Repair,TRUE,
10733,EXTERNAL EYE AND CORNEA,65273,Conjuctival Graft,TRUE,
10734,EXTERNAL EYE AND CORNEA,68325,Conjuctival Mass Excision,TRUE,
10735,EXTERNAL EYE AND CORNEA,68130,Scleral Growth Excision,TRUE,
10736,EXTERNAL EYE AND CORNEA,65400,Corneal Mass Excision,TRUE,
10737,EXTERNAL EYE AND CORNEA,65410,Corneal Biopsy,TRUE,
10738,EXTERNAL EYE AND CORNEA,65430,Corneal Scrapping,TRUE,
10739,EXTERNAL EYE AND CORNEA,65210,Corneal/Scleral F.B. Removal,TRUE,
10740,EXTERNAL EYE AND CORNEA,65756,Transplant of Outer Layer of Corneal Tissue,TRUE,
10741,EXTERNAL EYE AND CORNEA,65757,Preparation of Corneal Tissue for Transplant,TRUE,
10742,EXTERNAL EYE AND CORNEA,65760,Removal and Reshaping of Corneal Tissue,TRUE,
10743,EXTERNAL EYE AND CORNEA,65767,Transplantation of Donor Corneal Tissue,TRUE,
10744,EXTERNAL EYE AND CORNEA,65770,Placement of Tube with Optical Power to Cornea,TRUE,
10745,EXTERNAL EYE AND CORNEA,65771,Incisions in Cornea to Correct Refraction Error,TRUE,
10746,EXTERNAL EYE AND CORNEA,65772,Incisions to Cornea to Correct Astigmatism,TRUE,
10747,EXTERNAL EYE AND CORNEA,65775,Excision of Corneal Tissue to Correct Astigmatism,TRUE,
10748,EXTERNAL EYE AND CORNEA,65778,Free Amniotic Membrane Graft,TRUE,
10749,EXTERNAL EYE AND CORNEA,65779,Sutured Amniotic Membrane Graft,TRUE,
10750,EXTERNAL EYE AND CORNEA,65781,Cornea Stem Cell Transplantation,TRUE,
10751,EXTERNAL EYE AND CORNEA,65785,Corneal Ring Implantation,TRUE,
10752,EXTERNAL EYE AND CORNEA,65710,Corneal Graft,TRUE,
10753,EXTERNAL EYE AND CORNEA,65280,Corneal/Scleral Repair,TRUE,
10754,EXTERNAL EYE AND CORNEA,0402T,Collagen Cross Linking Treatment of Disease of Cornea,TRUE,
10755,EXTERNAL EYE AND CORNEA,65101,Enucleation,TRUE,
10756,EXTERNAL EYE AND CORNEA,65103,Enucleation and Ocular Implant Placement,TRUE,
10757,EXTERNAL EYE AND CORNEA,65091,Evisceration,TRUE,
10758,EXTERNAL EYE AND CORNEA,65093,Evisceration and Ocular Implant Placement,TRUE,
10759,EXTERNAL EYE AND CORNEA,65150,Ocular Implant Revision,TRUE,
10760,EXTERNAL EYE AND CORNEA,65175,Ocular Implant Removal,TRUE,
10761,EXTERNAL EYE AND CORNEA,65110,Exenteration,TRUE,
10762,EXTERNAL EYE AND CORNEA,67299,Orbitotomy,TRUE,
10763,EXTERNAL EYE AND CORNEA,67415,Orbital Contents Fine Needle Aspiration,TRUE,
10764,EXTERNAL EYE AND CORNEA,67500,Retro Bulbar Injection,TRUE,
10765,EXTERNAL EYE AND CORNEA,67505,Retro Bulbar Alcohol Injection,TRUE,
10766,EXTERNAL EYE AND CORNEA,67570,Optic Nerve Decompression,TRUE,
10767,EXTERNAL EYE AND CORNEA,68810,Probing,TRUE,
10768,EXTERNAL EYE AND CORNEA,68500,Lacrimal Gland Excision,TRUE,
10769,EXTERNAL EYE AND CORNEA,68505,Lacrimal Gland Partial Excision,TRUE,
10770,EXTERNAL EYE AND CORNEA,68510,Lacrimal Gland Biopsy,TRUE,
10771,EXTERNAL EYE AND CORNEA,68520,Tear SAC Excision,TRUE,
10772,EXTERNAL EYE AND CORNEA,68525,Tear SAC Biopsy,TRUE,
10773,EXTERNAL EYE AND CORNEA,68530,Tear Passages Foreign Body Removal,TRUE,
10774,EXTERNAL EYE AND CORNEA,68540,Tear Sac Mass Excision,TRUE,
10775,EXTERNAL EYE AND CORNEA,68700,Tear Duct Reconstruction,TRUE,
10776,EXTERNAL EYE AND CORNEA,68801,Tear Drainage Dilatation,TRUE,
10777,EXTERNAL EYE AND CORNEA,68815,Probing with Stent/Tube Insertion,TRUE,
10778,EXTERNAL EYE AND CORNEA,68816,Probing with Balloon Catheter Dilatation,TRUE,
10779,EXTERNAL EYE AND CORNEA,67875,Tarsorhaphy,TRUE,
10780,EXTERNAL EYE AND CORNEA,68720,Dacryorrhinosistomy,TRUE,
10781,EXTERNAL EYE AND CORNEA,68760,Duct Opening Repair,TRUE,
10782,EXTERNAL EYE AND CORNEA,68761,Puncto Plug,TRUE,
10783,EXTERNAL EYE AND CORNEA,68770,Tear Drainage Closure,TRUE,
10784,EXTERNAL EYE AND CORNEA,68020,Demoid Cyst Excision (Eye),TRUE,
10785,EXTERNAL EYE AND CORNEA,67924,Lid Rotation - TRP,TRUE,
10786,EXTERNAL EYE AND CORNEA,67250,Scleral Defect Repair,TRUE,
10787,EXTERNAL EYE AND CORNEA,67255,Scleral Repair with Graft,TRUE,
10788,EXTERNAL EYE AND CORNEA,67901,Ptosis Surgery,TRUE,
10789,EXTERNAL EYE AND CORNEA,67906,Brow Suspension,TRUE,
10790,EXTERNAL EYE AND CORNEA,67900,Repair of Brow Paralysis,TRUE,
10791,EXTERNAL EYE AND CORNEA,67902,Repair of Upper Eyelid Muscle to Correct Drooping or Paralysis,TRUE,
10792,EXTERNAL EYE AND CORNEA,67903,Shortening or Advancement of Upper Eyelid Muscle to Correct Drooping or Paralysis,TRUE,
10793,EXTERNAL EYE AND CORNEA,67904,Repair of Tendon of Upper Eyelid,TRUE,
10794,EXTERNAL EYE AND CORNEA,67908,"Removal of Tissue, Muscle, and Membrane to Correct Eyelid Drooping or Paralysis",TRUE,
10795,EXTERNAL EYE AND CORNEA,67909,Procedure to Reduce Overcorrection of Drooping or Paralyzed Upper Eyelid,TRUE,
10796,EXTERNAL EYE AND CORNEA,67825,Electrolysis,TRUE,
10797,EXTERNAL EYE AND CORNEA,67700,Eye Lid Abscess I&D,TRUE,
10798,EXTERNAL EYE AND CORNEA,67710,Eye Lid Sutures Removal,TRUE,
10799,EXTERNAL EYE AND CORNEA,67715,Canthotomy,TRUE,
10800,EXTERNAL EYE AND CORNEA,67800,Eyelid Mass Excision,TRUE,
10801,EXTERNAL EYE AND CORNEA,67801,Multiple Same Eye Lid Masses Excision,TRUE,
10802,EXTERNAL EYE AND CORNEA,67808,Eye Lid Mass Excision Under GA,TRUE,
10803,EXTERNAL EYE AND CORNEA,67810,Eye Lid Biopsy,TRUE,
10804,EXTERNAL EYE AND CORNEA,67820,Epilation,TRUE,
10805,EXTERNAL EYE AND CORNEA,67916,Ectropion Repair,TRUE,
10806,EXTERNAL EYE AND CORNEA,67923,ENTROPION REPAIR,TRUE,
10807,EXTERNAL EYE AND CORNEA,67930,Lid Margin Laceration Repair,TRUE,
10808,EXTERNAL EYE AND CORNEA,67938,Foreign Body Removal of the Eye Lid,TRUE,
10809,EXTERNAL EYE AND CORNEA,67971,Eye Lid Reconstruction with Graft,TRUE,
10810,EXTERNAL EYE AND CORNEA,15820,Removal of Excessive Skin of Lower Eyelid,TRUE,
10811,EXTERNAL EYE AND CORNEA,15821,Removal of Excessive Skin of Lower Eyelid and Fat Around Eye,TRUE,
10812,EXTERNAL EYE AND CORNEA,15822,Removal of Excessive Skin of Upper Eyelid,TRUE,
10813,EXTERNAL EYE AND CORNEA,15823,Removal of Excessive Skin and Fat of Upper Eyelid,TRUE,
10814,EXTERNAL EYE AND CORNEA,67320,Strabismus Surgery,TRUE,
10815,EXTERNAL EYE AND CORNEA,67311,Realignment of The Eye With Repair of One Horizontal Eye Muscle,TRUE,
10816,EXTERNAL EYE AND CORNEA,67312,Realignment of The Eye With Repair of Two Horizontal Eye Muscles,TRUE,
10817,EXTERNAL EYE AND CORNEA,67314,Realignment of The Eye With Repair of One Vertical Muscle,TRUE,
10818,EXTERNAL EYE AND CORNEA,67316,Realignment of The Eye With Repair of Two or more Vertical Muscles,TRUE,
10819,EXTERNAL EYE AND CORNEA,67331,Traumatic Strabismus Correction Surgery,TRUE,
10820,EXTERNAL EYE AND CORNEA,67332,Realignment of Eye Having Scarring or Restrictive Muscle Movement,TRUE,
10821,EXTERNAL EYE AND CORNEA,67334,Posterior Fixation Strabismus Surgery,TRUE,
10822,EXTERNAL EYE AND CORNEA,67335,Strabismus Surgery with Adjustable Sutures,TRUE,
10823,EXTERNAL EYE AND CORNEA,67340,Strabismus Surgery with Repair of Detached Muscle,TRUE,
10824,EXTERNAL EYE AND CORNEA,92060,Orthoptic Assesment,TRUE,
10825,EXTERNAL EYE AND CORNEA,92065,Orthoptic Exercises,TRUE,
10826,EXTERNAL EYE AND CORNEA,65820,Goniotomy,TRUE,
10827,EXTERNAL EYE AND CORNEA,66170,Trabeculectomy,TRUE,
10828,EXTERNAL EYE AND CORNEA,66180,Glaucoma Surgery With Graft,TRUE,
10829,EXTERNAL EYE AND CORNEA,66184,Glaucoma Shunt Revision,TRUE,
10830,EXTERNAL EYE AND CORNEA,66500,Iridectomy,TRUE,
10831,EXTERNAL EYE AND CORNEA,65850,Glaucoma Valve Implantation,TRUE,
10832,EXTERNAL EYE AND CORNEA,66761,Laser Iridotomy,TRUE,
10833,EXTERNAL EYE AND CORNEA,66630,Iridotomy,TRUE,
10834,EXTERNAL EYE AND CORNEA,66174,Trabeculotomy,TRUE,
10835,EXTERNAL EYE AND CORNEA,66155,Trab/ Trab,TRUE,
10836,EXTERNAL EYE AND CORNEA,0449T,Insertion of Aqueous Fluid Drainage Device into Eye,TRUE,
10837,EXTERNAL EYE AND CORNEA,67141,Cryotherapy,TRUE,
10838,EXTERNAL EYE AND CORNEA,66821,Laser Capsulectomy,TRUE,
