id,sub_category,code,description,code
4972,201,50384,Percutaneous Imaging Ureteric Stent Removal,50384
4973,201,50385,Removal And Replacement of Indwelling Stent in Urinary Duct (Ureter) Including  Radiological Supervision and Interpretation,50385
4974,201,50386,Imaging Guided Removal of Ureteric Stent,50386
4975,201,50387,Imaging Guided Replacement of Ureteric Stenting,50387
4976,201,50389,Imaging Guided Ureteronephrostomy Tube Removal,50389
4977,201,50430,Injection Procedure for X-Ray Imaging of Kidney and Urinary Duct (Ureter) using  Imaging Guidance including Radiological Supervision and Interpretation,50430
4978,201,50431,Injection Procedure for X-Ray Imaging of Kidney and Urinary Duct (Ureter) using  Imaging Guidance including Radiological Supervision and Interpretation,50431
4979,201,50432,Percutaneous Imaging Guided Nephrostomy Catheter Placement,50432
4980,201,50433,Percutaneous Imaging Guided Ureteronephrostomy Catheter Placement,50433
4981,201,50434,Percutaneous Imaging Guided Conversion of Nephrostomy Catheter to  Nephroureteral Catheter,50434
4982,201,50435,Percutaneous Replacement Nephrostomy Tube,50435
4983,201,50606,Biopsy of Urinary Duct Using Imaging Guidance with Radiological Supervision and Interpretation,50606
4984,201,50693,Percutaneous Ureteric Stenting,50693
4985,201,50705,Occlusion of Urinary Duct (Ureter) using Imaging Guidance With Radiological Supervision And Interpretation,50705
4986,201,50706,Ureteric Ablation,50706
4987,202,59070,Abdominal Infusion of Normal Saline into Fetal Amniotic SAC using Ultrasound Guidance,59070
4988,202,59072,Fetal Umbilical Cord Occlusion using Ultrasound Guidance,59072
4989,202,59074,Ultrasound Guided Amniocentesis,59074
4990,202,59076,Insertion of Drainage Catheter into Fetal Chest using Ultrasound Guidance,59076
4991,202,58345,Fallopian Tube Recannalisation,58345
4992,203,61645,Percutaneous Floroscopic Thromboembolectomy,61645
4993,203,61650,Transcatheter Floroscopic Thromboembolectomy,61650
4994,203,61651,Transcatheter Imaging Thromboembolectomy,61651
4995,204,47531,Injection of Bile Duct for X-Ray Imaging Procedure Accessed through the Skin using Imaging Guidance Including Radiological Supervision and Interpretation,47531
4996,204,47532,Injection of Bile Duct for X-Ray Imaging Procedure Accessed through the Skin using Imaging Guidance including Radiological Supervision and Interpretation,47532
4997,204,47533,"Placement of Drainage Catheter of Biliary Duct, Accessed through the Skin with Imaging including Radiological Supervision and Interpretation",47533
4998,204,47534,"Placement of Drainage Catheter of Biliary Duct, Accessed through the Skin with Imaging including Radiological Supervision and Interpretation",47534
4999,204,47535,Conversion of External Biliary Drainage Catheter to Internal-External Biliary Drainage Catheter Accessed through the Skin using Imaging Guidance with Study of Bile Ducts and Radiological Supervision and Interpretation,47535
5000,204,47536,Replacement of Liver Duct Drainage Catheter Accessed through the Skin with Imaging and Radiological Supervision and Interpretation,47536
5001,204,47537,"Removal of Biliary Drainage Catheter, Accessed through the Skin using Imaging Guidance and Radiological Supervision and Interpretation",47537
5002,204,47538,"Placement of Stent of Biliary Duct, Accessed through the Skin with Imaging including Radiological Supervision and Interpretation",47538
5003,204,47539,"Placement of Stent of Biliary Duct, Accessed Through the Skin with Imaging including Radiological Supervision and Interpretation",47539
5004,204,47540,"Placement of Stent and Drainage Catheter of Biliary Duct, Accessed through the Skin with Imaging including Radiological Supervision and Interpretation",47540
5005,204,47541,"Placement of Access Device into Biliary Tract, Accessed through the Skin with Imaging including Radiological Supervision and Interpretation",47541
5006,204,47542,Balloon Dilation of Bile Duct Accessed through the Skin using Imaging Guidance including Radiological Supervision and Interpretation,47542
5007,204,47543,Biopsy of Bile Duct or Liver Duct Accessed through the Skin using Imaging Guidance with Radiological Supervision and Interpretation,47543
5008,204,47544,"Removal of Biliary Duct or Gallbladder Stone, Accessed through the Skin using Imaging Guidance and Radiological Supervision and Interpretation",47544
5009,205,51715,Augmentation Cystoplasty,51715
5010,205,54324,Epispadias Repair,54324
5011,205,54326,Hypospadias Repair,54326
5012,205,50650,Partial Cystectomy,50650
5013,205,54437,Repair of Fractured Penis,54437
5014,205,54300,Straightening Procedure of the Penis,54300
5015,205,55530,Varicocoelectomy,55530
5016,205,55520,Removal of Spermatic Cord Growth,55520
5017,205,55550,Tying of Spermatic Veins using an Endoscope,55550
5018,205,51596,Total Cystectomy + Urinary Diversion,51596
5019,205,51050,Cystolithotomy/ Vesicostomy,51050
5020,205,50220,Nephrectomy,50220
5021,205,50240,Partial NEPHRECTOMY,50240
5022,205,54120,Partial Penoctomy,54120
5023,205,50605,Pyeloplasty - PUJ,50605
5024,205,50060,Nephrolithotomy,50060
5025,205,50100,Repositioning of Abnormal Kidney Blood Vessels,50100
5026,205,50120,Exploration of Kidney,50120
5027,205,50125,Incision and Drainage of Kidney IE Abcess,50125
5028,205,51102,Supra Pubic Cystostomy(SPC),51102
5029,205,51597,Total Cystectomy & Urinary Diversion,51597
5030,205,54125,Total Penectomy/Bilateral Inguinal LN Dissection,54125
5031,205,50610,Ureterolithotomy,50610
5032,205,53410,Urethroplasty,53410
5033,205,51530,Urinary Bladder Diverticulectomy,51530
5034,205,54150,Circumsion (Phymosis & Paraphymosis),54150
5035,205,52005,Cystoscopy & Ureteric Catheterization,52005
5036,205,54380,Glansplasty,54380
5037,205,55040,Hydrocelectomy,55040
5038,205,53020,Meatotomy /Perineal Urethrotomy,53020
5039,205,55842,Open Prostatectomy,55842
5040,205,54535,Orchidectomy,54535
5041,205,54522,Partial Orchidectomy,54522
5042,205,54560,Testicular Exploration,54560
5043,205,54680,Transplantation of One or Both Testicles to Thigh,54680
5044,205,54690,Removal of One or Both Testicles using an Endoscope,54690
5046,205,54430,Priapism Operation(Shunting),54430
5047,205,55180,Scrotoplasty,55180
5048,205,52234,Transurethral Resection of Bladder Tumour,52234
5049,205,52601,Transurethral Resection of Prostate,52601
5050,205,50780,Ureteric Re-Implantation,50780
5051,205,52007,Cystoscopy Biopsy + EUA,52007
5052,205,53400,Direct Vision Urethrotomy,53400
5053,205,50075,Pyelolithotomy,50075
5054,205,52351,Ureteroscopy,52351
5055,205,52281,Urethral Bouging,52281
5056,205,54520,Bilateral Subcapsular Orchidectomy,54520
5057,205,52276,Optical Urethrotomy (OTIS),52276
5058,205,55700,Prostatic Trucut Biopsy,55700
5059,205,52332,Renoscopy,52332
5060,205,54500,Testicular Biopsy,54500
5061,205,51702,Urethral Catheterization,51702
5062,205,52000,Urethrocystoscopy,52000
5063,205,55250,Vascectomy,55250
5064,205,53445,Transurethral Resection or Incision of Bladder Nec,53445
5065,205,55175,Scrotoplasty,55175
5066,205,52270,Direct Visual Urethrotomy (DVU),52270
5067,205,50590,Eswl Session for Renal Stones(electro Shock Wave Lithotripsy),50590
5068,205,50575,DJ Stent Different Sizes with Guide Wire,50575
5069,205,52310,DJ Stent Removal,52310
5070,205,50574,Kidney Biopsy,50574
5071,205,52201,Cystoscopy + EUA + Biopsy,52201
5072,205,54505,Testicular Biopsy,54505
5073,205,58951,Pelvic Exenteration,58951
5074,205,54161,Circumscission (adult),54161
5075,205,43320,Anti Reflux Surgery,43320
5076,205,19301,Breast Lumpectomy (Malignant),19301
5077,205,31623,Bronchoscopy See/ORL,31623
5078,205,46280,Fissurectomy,46280
5079,205,46200,Fistulectomy,46200
5080,205,32320,Lung Decortication,32320
5081,205,32480,Lung Lobectomy,32480
5082,205,39010,Mediasternotomy Surgery,39010
5083,205,19307,Modified Radical Mastectomy,19307
5084,205,43107,Oesophagectomy,43107
5085,205,32220,Pleurectomy,32220
5086,205,32650,Pleurodesis,32650
5087,205,32440,Pneumonectomy,32440
5088,205,19306,Radical Mastectomy,19306
5089,205,21600,Rib Resection,21600
5090,205,32900,Rib Excision,32900
5091,205,19303,Simple Mastectomy,19303
5092,205,97597,Surgical Debriment Under G/A,97597
5093,205,32601,Thoracoscopy for Mediastinal Tumors,32601
5094,205,32096,Thoracotomy Achalasia of Oesophagus,32096
5095,205,32097,Thoracotomy Decortication,32097
5096,205,60220,Thyroid Lobectomy,60220
5097,205,60212,Subtotal Thyroidectomy,60212
5098,205,60240,Total Thyroidectomy,60240
5099,205,47600,Cholecystectomy,47600
5100,205,47610,Cholecystectomy & CBD Exploration,47610
5101,205,43264,Choledocotomy,43264
5102,205,47425,Duct Calculi Removal,47425
5103,205,47010,Incision & Drainage of Liver Abscess (Open),47010
5104,205,47120,Lobectomy (Liver),47120
5105,205,44950,Appendicectomy,44950
5106,205,49900,Suture of Postsurgical Abdominal Wall Opening,49900
5107,205,44625,Colostomy Closure- Laparatomy,44625
5108,205,44626,Colostomy Closure-Non Laparatomy,44626
5109,205,44340,Colostomy Revision,44340
5110,205,39599,Hernia Repair - Diaphragmatic,39599
5111,205,49540,Hernia Repair - Epigastric/Umbilical,49540
5112,205,49505,Hernia Repair - Inguinal/Fermoral,49505
5113,205,49595,Herniotomy,49595
5114,205,49565,Incisional Hernia Repair,49565
5115,205,49568,Hernioplasty,49568
5116,205,43840,Laparotomy Intestinal Obstruction,43840
5117,205,44602,Laparotomy Perforation of Viscera,44602
5118,205,47350,Liver Trauma Surgical Repair,47350
5119,205,49020,"Drainage of Abdominal Abscess or Infection, Open Procedure",49020
5120,205,38100,Splenectomy,38100
5121,205,38115,Repair of Ruptured Spleen,38115
5122,205,38129,Laparoscopic Splenectomy,38129
5123,205,15830,Abdominal Dermolipectomy,15830
5124,205,44320,Colostomy Defunctioning,44320
5125,205,43810,Gastrojejunostomy,43810
5126,205,44140,Hemicolectomy,44140
5127,205,15877,Liposuction (Major),15877
5128,205,19112,Michrodochotomy,19112
5129,205,15650,Plastic Surgery - SSG & FLAP,15650
5130,205,37181,Portal Systemic Shunt Procedure,37181
5131,205,45300,Proctoscopy Eua Biopsy (Rigid),45300
5132,205,44345,PSARP,44345
5133,205,45121,Pull Through Surgery (Procedures),45121
5134,205,19318,Reduction Mammoplasty,19318
5135,205,48150,Resection - Whipples Procedure,48150
5136,205,43244,Stripping of Oesophageal Varices / Band Ligation,43244
5137,205,26560,Syndactyl Release / Separation,26560
5138,205,60521,Thymectomy,60521
5139,205,43314,Tracheal Oesophaeal Fistula Closure,43314
5140,205,15750,Varicose Vein Surgery + Skin Grafting,15750
5141,205,45110,Abdominal Perineal Resection(Rectum Operations),45110
5142,205,45111,Anterior Resection(Rectum Operations),45111
5143,205,47721,Cholecysto - Jejunostomy,47721
5144,205,43635,Drainage/Antrectomy,43635
5145,205,11404,Wide Major Excision,11404
5146,205,43633,Gastrectomy Plus Bypass,43633
5147,205,43620,Gastrectomy-Total,43620
5148,205,43999,Gastrostomy,43999
5149,205,41130,Partial Glossectomy,41130
5150,205,46221,Haemorrhoidectomy (Band Ligation),46221
5151,205,46255,Haemorrhoidectomy (Open),46255
5152,205,46947,Haemorrhoidectomy (Stappler),46947
5153,205,44147,Laparotomy for Colon Resection,44147
5154,205,44620,Laparotomy for Colostomy/Closure,44620
5155,205,47001,Needle Biopsy of Liver,47001
5156,205,47362,Re-Exploration of Liver Wound with Removal of Packing,47362
5157,205,45910,Anal Dilatation,45910
5158,205,45990,Diagnostic Examination of Anus and Rectum under Anesthesia,45990
5159,205,48500,Pancreatic-Cyst Drainage,48500
5160,205,48140,Pancreatic-Partial Resection,48140
5161,205,43520,Pyloromyotomy,43520
5162,205,43640,Truncal / Selective Vagotomy & Gastrojejunal Anastomos,43640
5163,205,43641,Vagotomy & Bypass Procedure,43641
5164,205,26123,Contracture Release Major,26123
5165,205,21931,Lipoma Excision Under G/A,21931
5166,205,15111,Major Skin Grafting,15111
5167,205,14302,Rotation Flap Operation,14302
5168,205,11426,Wide Major Excision,11426
5169,205,57289,Cystocele Repair,57289
5170,205,57268,Enterocele Repair,57268
5171,205,19125,Breast Lumpectomy,19125
5172,205,19361,Mammoplasty,19361
5173,205,60280,Thyroglossal Cyst/Fistula Excision,60280
5174,205,60252,Thyroid Total Thyroidectomy,60252
5175,205,31660,Bronchoscopic Ablative Therapy,31660
5176,205,31622,"Bronchoscopy, Biopsy & Brush Cytology",31622
5177,205,45331,Colonoscopy With Biopsy,45331
5178,205,17250,Cauterazation,17250
5179,205,43237,Endoscopic Uss,43237
5180,205,43260,ERCP,43260
5181,205,43262,ERCP And Sphicterotomy,43262
5182,205,43274,ERCP And Stenting,43274
5183,205,43266,Esophageal Stenting,43266
5184,205,43233,OGD (Oesophagogastroduodenoscopy),43233
5185,205,43246,Percutaneous Endoscopic Gastrotomy (PEG),43246
5186,205,43250,Polypectomy,43250
5187,205,46600,Proctoscopy,46600
5188,205,27339,Lipoma/Cyst Excison,27339
5189,205,21014,Lipoma Cyst Polyp Excision,21014
5190,205,43197,Oesophagoscopy Rigid/Flexible,43197
5191,205,32609,Pleural Biopsy,32609
5192,205,32554,Pleural TAP,32554
5193,205,20101,Wound Exploration,20101
5194,205,47015,Liver Abscess Aspiration,47015
5195,205,47000,Perctaneous Liver Biopsy,47000
5196,205,46040,Incision & Drainage-Ischial Rectal Abscess,46040
5197,205,11100,Skin Biopsy,11100
5198,205,36425,Venous Cutting Down,36425
5199,205,15852,Major Wound Dressing under G/A,15852
5200,205,45900,Anal Dilatation,45900
5201,205,46220,Cauterization (Electrical),46220
5202,205,45378,Colonoscopy (Flexible),45378
5203,205,43259,Endoscopic Us,43259
5204,205,43235,Enteroscopy,43235
5205,205,43261,ERCP + Sphicterotomy,43261
5206,205,74330,ERCP + Stenting,74330
5207,205,43450,Esophageal Dilatation,43450
5208,205,43212,Esophageal Stenting,43212
5209,205,43202,Oesophageal Biopsy,43202
5210,205,43231,Oesophagoscopy,43231
5211,205,43239,"Osophagus, Gastric and Deodenal with Biopsy",43239
5212,205,43243,"Osophagus, Gastric and Deodenal with Sclerotherapy",43243
5213,205,45100,Rectal Biopsy,45100
5214,205,36470,Sclerotherapy,36470
5215,205,26587,Extradigit Amputation - Minor,26587
5216,205,11424,Wide Minor Excision,11424
5217,205,10040,Acne Scar Removal,10040
5218,205,10061,Incision and Drainage of Pyomyositis,10061
5219,205,11730,Removing Ingrowing Nail,11730
5220,205,15839,Kelloid Excision,15839
5221,205,27385,Repair of Muscle,27385
5222,205,15150,Minor Skin Grafting,15150
5223,205,15783,Slit Skin Smear,15783
5224,205,11006,Sloughectomy,11006
5225,205,15851,Stitch Sinus Exploration,15851
5226,205,16025,Minor Wound Dressing,16025
5227,205,60500,Parathyroidectomy,60500
5228,205,49321,Laparoscopy(with Necessary Biopsies) - Nissen Fundoplication,49321
5229,205,44615,Laparoscopy (with Necessary Biopsies) - Adhesion/ Bowel Obstruction,44615
5230,205,49652,Laparoscopic Femoral Hernia Repair,49652
5231,205,44212,Laparoscopic Assisted Colectomy,44212
5232,205,43325,Laparoscopic Heller Myotomy for Achalasia,43325
5233,205,51820,Laparoscopic Repair of Urinary Bladder,51820
5234,205,39561,Laparoscopic Diaphragmatic Injury Repair,39561
5235,205,49329,Laparoscopic Repair of Visceral Injuries (stomach / Large& Small Bowel),49329
5236,205,32659,Laparoscopic Pericardial Window,32659
5237,205,45126,Abdominal Perineal Resection,45126
5238,205,37140,Portal Systemic Shunt Procedure,37140
5239,205,63173,Lumboperitoneal Shunt,63173
5240,205,43305,Tracheal Oesophaeal Fistula Closure,43305
5241,205,43335,Laparoscopy (with Necessary Biopsies) - Cholecystectomy,43335
5242,205,62143,Hernia Repair - Diaphragmatic,62143
5243,205,32124,Lung Decortication,32124
5244,205,60520,Thymomectomy,60520
5245,205,49580,Herniotomy (paediatric),49580
5246,205,48510,Pancreatic or Cyst Drainage (cystogastrostomy),48510
5247,205,44970,Laparoscopy (with Necessary Biopsies) - Appendectomy,44970
5248,205,37761,Varicose Vein Stripping (low),37761
5249,205,62096,Open Chest Drainage (chest Window),62096
5250,205,49654,Hernia Repair - Incisional,49654
5251,205,60650,Laparoscopy (with Necessary Biopsies) - Diagnostic,60650
5252,205,44955,Appendicectomy,44955
5253,205,27591,Femur Transfemoral Amputation,27591
5254,205,45505,Rectocele Repair,45505
5255,205,27884,Tibia Transtibial Amputation,27884
5256,205,49002,Burst Abdomen- Repair,49002
5257,205,25295,Keloid Excission-major,25295
5258,205,43220,Esophagoscopy & Dilatation,43220
5259,205,45020,Incision & Drainage - Ischio Rectal Abscess,45020
5260,205,43100,Colonoscopy (flexible/rigid) without Biopsy,43100
5261,205,43200,Endoscopic Biopsy,43200
5262,205,32169,Pleural Biopsy,32169
5263,205,27336,Lipoma Excision (minor),27336
5264,205,46270,Fistulectomy,46270
5265,205,45305,"Proctoscopy, Eua, Biopsy (rigid Scope)",45305
5266,205,31295,Antral Wash Out,31295
5267,205,49082,Laparotomy (peritonitis),49082
5268,205,20005,Simple Abscess Incision & Drainage,20005
5269,205,28060,Plantar Fasciotomy Open - Foot,28060
5270,205,28008,Plantar Fasciotomy Percutaneous - Foot,28008
5271,205,17000,"Cryotherapy (e.g Eye,skin,cervix)",17000
5272,205,31625,Bronchoscopy- Biopsy & Brush Cytology (fibre Optic),31625
5273,205,58960,Laparatomy,58960
5274,205,19120,Breast Lumpectomy (BENIGN),19120
5275,205,32551,Tube Thoracostomy,32551
5276,206,88160,Via-Visual Inspection with Acetic Acid,88160
5277,206,58661,Bilateral Salphingo Ophorectomy,58661
5278,206,58671,Blocking of Uterine Tubes By Device using an Endoscope,58671
5279,206,57720,Cervical Tear Repair Extensive,57720
5280,206,59121,Ectopic Pregnancy - Laparotomy & Salphingectomy,59121
5281,206,58353,Endometrial Ablation,58353
5282,206,57500,Eua And Wedge Biopsy-Cervical,57500
5283,206,58662,Excission of Endometrial Implants,58662
5284,206,58555,Hysterescopy,58555
5285,206,51570,Laparatomy (Cystectomy),51570
5286,206,58400,Laparatomy (Manchester Forthergil Repair),58400
5287,206,58940,Laparatomy (Ovarain Tumor),58940
5288,206,45000,Laparatomy (Pelvic Abscess),45000
5289,206,57288,Laparatomy (Stress Incontinence Surgery),57288
5290,206,57250,Laparatomy Perineorrhaphy,57250
5291,206,58570,Laparoscopic Hysterectomy,58570
5292,206,58145,Myomectomy (Laparoscopic),58145
5293,206,57510,Leep Procedure,57510
5294,206,58140,Myomectomy,58140
5295,206,58670,Ovarian Drill,58670
5296,206,57282,Perrineoplasty,57282
5297,206,58150,Subtotal & Total Abdominal Hysterectomy,58150
5298,206,58760,Tubal Anastomosis (Re-Anastomosis),58760
5299,206,58673,Tuboplasty,58673
5300,206,51900,Vvf Repair,51900
5301,206,58410,Ventrosuspension Operations (Stameys Etc),58410
5302,206,58954,Warthem Hysterectomy,58954
5303,206,58615,Bilateral Tubal Ligation (BTL),58615
5304,206,59514,Caesarean Section,59514
5305,206,58611,Caesarean Section + BTL,58611
5306,206,10060,Incision & Drainage,10060
5307,206,58300,Insertion and Removal of LUCD,58300
5308,206,59870,Sunction Curratage for Molar Pregnancy,59870
5309,206,16030,Major Wound Dressing under G/A,16030
5310,206,56440,Bartholins Abscess-Mursupialisation,56440
5311,206,59320,Cervical Circlage-Shrodikar,59320
5312,206,57000,Colpotomy,57000
5313,206,57520,Cone Biopsy,57520
5314,206,58120,Diagnostic Curretage-D and C,58120
5315,206,59840,Dilatation And Curratage(D&C),59840
5316,206,59812,Evacuation,59812
5317,206,11983,Insertion And Removal Implanon,11983
5318,206,57452,Colposcopy,57452
5319,206,59820,Manual Vacum Aspiration,59820
5320,206,58558,Polypectomy-Cervical,58558
5321,206,56630,Simple Vulvectomy,56630
5322,206,58260,Vagina Hysterectomy,58260
5323,206,59300,Vaginal Repair,59300
5324,206,58285,Wartheim Hysterectomy,58285
5325,206,59160,Retained Placenta Removal,59160
5326,206,57265,Enterocele Repair,57265
5327,206,60540,Laparotomy for Other Conditions,60540
5328,206,49000,Explorative Laparatomy,49000
5329,206,58925,Ovarian Cystectomy,58925
5330,206,58210,Radical Hysterectomy,58210
5331,206,57300,RVF Repair,57300
5332,206,57461,CONE Biopsy,57461
5333,206,56810,Perineoraphy,56810
5334,206,58578,Laparascopy,58578
5335,206,58579,Hysteroscopy,58579
5336,206,59409,Normal Delivery,59409
5337,206,56442,Hymenectomy,56442
5338,206,19100,Core Needle biopsy,19100
5339,207,65810,Anterior Chamber Washout,65810
5340,207,66984,Cataract Surgery with IOL Insertion,66984
5341,207,66920,Cataract Surgery Without IOL Insertion,66920
5342,207,66820,Posterior Capsulotomy,66820
5343,207,66825,Repositioning of Lens Prosthesis,66825
5344,207,66840,Lens Washout,66840
5345,207,66983,Phaeco-Emulsification Surgery with Foldable Lens,66983
5346,207,66930,Lensectomy,66930
5347,207,66985,Secondary Intra Ocular Lens Insertion,66985
5348,207,66680,Iris Repair,66680
5349,207,66986,Intra Ocular Lens Exchange,66986
5350,208,65426,Pterygium Excision,65426
5351,208,68399,Conjuctival Flap,68399
5352,208,68200,Subconjunctiva Injection,68200
5353,208,68320,Conjunctiva Repair,68320
5354,208,65273,Conjuctival Graft,65273
5355,208,68325,Conjuctival Mass Excision,68325
5356,208,68130,Scleral Growth Excision,68130
5357,208,65400,Corneal Mass Excision,65400
5358,208,65410,Corneal Biopsy,65410
5359,208,65430,Corneal Scrapping,65430
5360,208,65210,Corneal/Scleral F.B. Removal,65210
5361,208,65756,Transplant of Outer Layer of Corneal Tissue,65756
5362,208,65757,Preparation of Corneal Tissue for Transplant,65757
5363,208,65760,Removal and Reshaping of Corneal Tissue,65760
5364,208,65767,Transplantation of Donor Corneal Tissue,65767
5365,208,65770,Placement of Tube with Optical Power to Cornea,65770
5366,208,65771,Incisions in Cornea to Correct Refraction Error,65771
5367,208,65772,Incisions to Cornea to Correct Astigmatism,65772
5368,208,65775,Excision of Corneal Tissue to Correct Astigmatism,65775
5369,208,65778,Free Amniotic Membrane Graft,65778
5370,208,65779,Sutured Amniotic Membrane Graft,65779
5371,208,65781,Cornea Stem Cell Transplantation,65781
5372,208,65785,Corneal Ring Implantation,65785
5373,208,65710,Corneal Graft,65710
5374,208,65280,Corneal/Scleral Repair,65280
5375,208,0402T,Collagen Cross Linking Treatment of Disease of Cornea,0402T
5376,208,65101,Enucleation,65101
5377,208,65103,Enucleation and Ocular Implant Placement,65103
5378,208,65091,Evisceration,65091
5379,208,65093,Evisceration and Ocular Implant Placement,65093
5380,208,65150,Ocular Implant Revision,65150
5381,208,65175,Ocular Implant Removal,65175
5382,208,65110,Exenteration,65110
5383,208,67299,Orbitotomy,67299
5384,208,67415,Orbital Contents Fine Needle Aspiration,67415
5385,208,67500,Retro Bulbar Injection,67500
5386,208,67505,Retro Bulbar Alcohol Injection,67505
5387,208,67570,Optic Nerve Decompression,67570
5388,208,68810,Probing,68810
5389,208,68500,Lacrimal Gland Excision,68500
5390,208,68505,Lacrimal Gland Partial Excision,68505
5391,208,68510,Lacrimal Gland Biopsy,68510
5392,208,68520,Tear SAC Excision,68520
5393,208,68525,Tear SAC Biopsy,68525
5394,208,68530,Tear Passages Foreign Body Removal,68530
5395,208,68540,Tear Sac Mass Excision,68540
5396,208,68700,Tear Duct Reconstruction,68700
5397,208,68801,Tear Drainage Dilatation,68801
5398,208,68815,Probing with Stent/Tube Insertion,68815
5399,208,68816,Probing with Balloon Catheter Dilatation,68816
5400,208,67875,Tarsorhaphy,67875
5401,208,68720,Dacryorrhinosistomy,68720
5402,208,68760,Duct Opening Repair,68760
5403,208,68761,Puncto Plug,68761
5404,208,68770,Tear Drainage Closure,68770
5405,208,68020,Demoid Cyst Excision (Eye),68020
5406,208,67924,Lid Rotation - TRP,67924
5407,208,67250,Scleral Defect Repair,67250
5408,208,67255,Scleral Repair with Graft,67255
5409,208,67901,Ptosis Surgery,67901
5410,208,67906,Brow Suspension,67906
5411,208,67900,Repair of Brow Paralysis,67900
5412,208,67902,Repair of Upper Eyelid Muscle to Correct Drooping or Paralysis,67902
5413,208,67903,Shortening or Advancement of Upper Eyelid Muscle to Correct Drooping or Paralysis,67903
5414,208,67904,Repair of Tendon of Upper Eyelid,67904
5415,208,67908,"Removal of Tissue, Muscle, and Membrane to Correct Eyelid Drooping or Paralysis",67908
5416,208,67909,Procedure to Reduce Overcorrection of Drooping or Paralyzed Upper Eyelid,67909
5417,208,67825,Electrolysis,67825
5418,208,67700,Eye Lid Abscess I&D,67700
5419,208,67710,Eye Lid Sutures Removal,67710
5420,208,67715,Canthotomy,67715
5421,208,67800,Eyelid Mass Excision,67800
5422,208,67801,Multiple Same Eye Lid Masses Excision,67801
5423,208,67808,Eye Lid Mass Excision Under GA,67808
5424,208,67810,Eye Lid Biopsy,67810
5425,208,67820,Epilation,67820
5426,208,67916,Ectropion Repair,67916
5427,208,67923,ENTROPION REPAIR,67923
5428,208,67930,Lid Margin Laceration Repair,67930
5429,208,67938,Foreign Body Removal of the Eye Lid,67938
5430,208,67971,Eye Lid Reconstruction with Graft,67971
5431,208,15820,Removal of Excessive Skin of Lower Eyelid,15820
5432,208,15821,Removal of Excessive Skin of Lower Eyelid and Fat Around Eye,15821
5433,208,15822,Removal of Excessive Skin of Upper Eyelid,15822
5434,208,15823,Removal of Excessive Skin and Fat of Upper Eyelid,15823
5435,208,67320,Strabismus Surgery,67320
5436,208,67311,Realignment of The Eye With Repair of One Horizontal Eye Muscle,67311
5437,208,67312,Realignment of The Eye With Repair of Two Horizontal Eye Muscles,67312
5438,208,67314,Realignment of The Eye With Repair of One Vertical Muscle,67314
5439,208,67316,Realignment of The Eye With Repair of Two or more Vertical Muscles,67316
5440,208,67331,Traumatic Strabismus Correction Surgery,67331
5441,208,67332,Realignment of Eye Having Scarring or Restrictive Muscle Movement,67332
5442,208,67334,Posterior Fixation Strabismus Surgery,67334
5443,208,67335,Strabismus Surgery with Adjustable Sutures,67335
5444,208,67340,Strabismus Surgery with Repair of Detached Muscle,67340
5445,208,92060,Orthoptic Assesment,92060
5446,208,92065,Orthoptic Exercises,92065
5447,208,65820,Goniotomy,65820
5448,208,66170,Trabeculectomy,66170
5449,208,66180,Glaucoma Surgery With Graft,66180
5450,208,66184,Glaucoma Shunt Revision,66184
5451,208,66500,Iridectomy,66500
5452,208,65850,Glaucoma Valve Implantation,65850
5453,208,66761,Laser Iridotomy,66761
5454,208,66630,Iridotomy,66630
5455,208,66174,Trabeculotomy,66174
5456,208,66155,Trab/ Trab,66155
5457,208,0449T,Insertion of Aqueous Fluid Drainage Device into Eye,0449T
5458,208,67141,Cryotherapy,67141
5459,208,66821,Laser Capsulectomy,66821
5460,208,65855,Laser Trabeculoplasty,65855
5461,208,66710,Laser Capsulotomy,66710
5462,208,66711,Destruction of Tissue Encircling Lens using an Endoscope,66711
5463,208,66720,Destruction of Tissue Encircling Lens,66720
5464,208,66740,Destruction of Tissue of Eyelid Border,66740
5465,208,66770,Destruction of Growth of Iris using Laser,66770
5466,208,67228,Pan Retinal Photocoagulation (PRP),67228
5467,208,92071,Fitting of Contact Lens for Treatment of Ocular Surface Disease,92071
5468,208,92072,Fitting of Contact Lens for Management of Corneal Degeneration,92072
5469,208,92136,Keratometry,92136
5470,208,92275,Electro-Retinogram (ERG),92275
5471,208,76516,A Scan,76516
5472,208,76512,B Scan,76512
5473,208,92018,EYE-EUA,92018
5474,208,92250,Fundus Photograph,92250
5475,208,92081,Visual Field Analysis,92081
5476,208,92004,Low Vision Assessment,92004
5477,208,92025,Cornea Topography,92025
5478,208,0198T,Measurement of Eye Intra Ocular Pressure,0198T
5479,208,67041,Removal of Membrane From the Retina,67041
5480,208,67042,"Removal of Membrane From the Retina, Pars Plana Approach",67042
5481,208,67101,"Repair of Detached Retina, 1 or more Sessions",67101
5482,208,67107,Repair of Detached Retina and Drainage of Eye Fluid Between Lens And Retina,67107
5483,208,67110,Repair of Detached Retina by Injection of Air or Gas,67110
5484,208,67113,Repair of Detached Retina and Drainage of Eye Fluid Between Lens And Retina,67113
5485,208,67115,Release of Retinal Encircling Material,67115
5486,208,67120,Removal of Implant Material from outside the Eye,67120
5487,208,67121,Removal of Implant Material from inside the Eye,67121
